"genres";"plays";"danceability";"artist_plays_previous_month"
"Pop,Rock";4;0.272;30
"World";4;0.375;29
"Classical";37;0.158;3
"Vocal,World";88;0.342;0
"Alternative";60;0.534;25
"Alternative";24;0.712;NA
"Pop,Rock";32;0.517;318
"Country";4;0.494;99
"Rock";1;0.264;NA
"Jazz";1;0.573;11
"Rock";12;0.525;NA
"Blues,Country";10;0.735;0
"Electronic";6;0.252;54
"Alternative";1;0.275;2
"AudioBooks,SpokenWord";210;0.72;8881
"HipHop";927;0.722;4082
"Electronic";5547;0.527;3824
"HipHop";3;0.674;41
"Pop";821;0.693;680
"ChildrensMusic";19;0.748;10528
"Alternative,Rock";43;0.388;NA
"Rock";3;0.216;5
"Alternative,Pop";11;0.246;257
"Pop,Rock";21;0.471;65
"Jazz";33;0.649;448
"Pop";3873;0.765;2167
"Electronic,Jazz";5;0.354;843
"Folk";132;0.66;262
"Dance,Electronic";15;0.464;210
"Alternative,Jazz";1;0.706;3
"Dance,Electronic";13;0.683;12
"Alternative,Rock";3;0.253;196
"Pop";22;0.393;1394
"HipHop";1;0.662;1
"Dance,Electronic";344;0.927;0
"Rock";220;0.464;NA
"Electronic";13;0.621;2
"Alternative";10;0.625;32
"HipHop";546;0.819;1249
"SpokenWord";48;0.722;7757
"Alternative,Rock";239;0.336;673
"Electronic";3;0.17;8
"HipHop";227;0.474;24
"Dance,Electronic";164;0.528;0
"Inspirational";3364;0.493;NA
"Rock";2;0.589;NA
"Soundtrack";1;0.667;2276
"Blues";14;0.608;71
"Rock";218;0.616;541
"Rock";168;0.495;2384
"Electronic,Rock";2;0.329;60
"Alternative,Rock";11;0.629;24
"Pop";52;0.536;164
"Reggae,World";121849;0.858;107646
"ChildrensMusic";22;0.447;NA
"Pop,Rock";22;0.541;221
"Alternative,Electronic";71;0.774;0
"Pop,Rock";1;0.534;0
"Rock";1;0.523;NA
"Rock";70;0.257;347
"Inspirational,NewAge";22;0.379;0
"Alternative,Rock";1;0.218;21
"Electronic";1;0.734;22
"Alternative";58;0.181;28
"Electronic";3;0.839;4720
"Vocal";9;0.563;NA
"Pop";30;0.354;58
"Dance,Electronic";46;0.749;0
"Alternative";227;0.332;432
"Alternative,Folk";12;0.59;0
"SpokenWord";17;0.617;6384
"Rock";10;0.306;31
"Rock";87;0.375;174
"Pop";4860;0.594;2096
"AudioBooks,SpokenWord";28;0.702;11020
"HipHop";248;0.63;0
"Alternative,Rock";2;0.642;424
"Inspirational,Rock";1;0.548;24
"Pop,Rock";155;0.651;850
"Rock";7;0.519;NA
"Rock";211;0.53;505
"Alternative,Pop";8;0.702;1
"NewAge";26;0.3;210
"Dance,Electronic";25;0.795;10
"HipHop";3;0.89;NA
"Alternative,Electronic";17;0.448;140
"Alternative,Electronic";42;0.454;133
"Electronic";15;0.265;335
"Rock";11;0.429;25
"HipHop,RnbAndSoul";278;0.691;0
"Pop";527;0.703;0
"Pop";162;0.693;0
"Alternative";49;0.515;NA
"Alternative";1;0.345;0
"HipHop";9386;0.613;67213
"Electronic";12;0.178;23
"Alternative";1;0.427;NA
"Alternative";1;0.504;7
"Pop";3466;0.679;5982
"Pop,Rock";100;0.544;51
"Alternative";1;0.625;NA
"Alternative";2;0.477;NA
"HipHop,RnbAndSoul";27;0.385;0
"Electronic,SpokenWord";4;0.173;18
"Rock";402;0.34;NA
"AudioBooks";40;0.539;6
"Folk";64;0.708;0
"Dance,Electronic";1;0.744;6
"Inspirational,NewAge";45;0.626;6539
"Rock";238;0.632;1775
"Folk";1;0.672;152
"Pop,Rock";1;0.582;15
"Rock";1;0.542;NA
"Electronic";57;0.96;53
"Rock";1;0.293;261
"Pop";3;0.447;NA
"Electronic";3;0.167;NA
"Rock";224;0.326;0
"HipHop,RnbAndSoul";7679;0.479;102048
"HipHop";10;0.804;1599
"Electronic";36;0.608;NA
"Rock";81;0.758;21
"Rock,SpokenWord";14;0.318;0
"Pop,Rock";59;0.29;0
"Alternative,Rock";141;0.32;174
"Rock";14422;0.453;15944
"Electronic";1;0.471;1
"Dance,Electronic";27;0.567;61
"HipHop";1;0.813;NA
"HipHop";3;0.771;NA
"Reggae";21897;0.72;13034
"Jazz,Latin";18;0.635;94
"World";6;0.645;NA
"Pop";536;0.442;99
"Latin,Pop";202;0.657;0
"Electronic,Pop";1;0.742;NA
"Alternative";7;0.599;NA
"Alternative";18;0.574;NA
"Latin";12;0.426;62
"Rock";10909;0.453;710312
"Alternative";2;0.214;NA
"Electronic,Pop";41;0.599;NA
"HipHop";7;0.462;24
"Inspirational";1;0.584;4
"Dance";20;0.662;NA
"Pop";956;0.558;17610
"HipHop";969334;0.694;122876
"Rock";73;0.205;78
"Blues,Rock";6;0.775;57
"Alternative";20046;0.711;53596
"HipHop";1;0.75;NA
"Alternative";7;0.43;0
"Pop";3;0.454;NA
"NewAge";667;0.13;4935
"HipHop";325;0.482;0
"NewAge";4830079;0.654;2010519
"Electronic";111;0.459;110
"Alternative,Pop";99;0.403;146
"Dance,Electronic";6;0.776;124
"Alternative,Rock";8;0.81;152
"Classical";12;0.453;NA
"Jazz,Latin";5;0.633;39
"Dance";65;0.588;258
"Holiday";9320;0.264;15184
"Dance";11;0.566;557
"Alternative";23;0.541;NA
"Jazz,Reggae";602;0.747;0
"Alternative";19473;0.761;NA
"Electronic,Rock";10;0.77;0
"Pop";2;0.506;30
"AudioBooks,SpokenWord";387;0.644;6695
"Soundtrack";2;0.231;1831
"Rock";27;0.666;336
"Alternative,Electronic";29;0.573;27
"Rock";20;0.339;NA
"World";1;0.815;0
"Alternative,Rock";6;0.566;65
"Pop";3;0.709;1
"RnbAndSoul";287;0.461;425
"Electronic";116;0.403;1270
"Folk,World";6;0.537;18
"Rock";20;0.302;0
"Classical";1;0.567;0
"HipHop";1;0.621;NA
"Electronic";30;0.714;2260
"Pop,Rock";126;0.519;545
"Blues,RnbAndSoul";1;0.617;1
"NewAge";330;0.197;2156
"Inspirational";1;0.459;8
"Electronic";1;0.613;111
"Alternative";2;0.252;NA
"Inspirational";3;0.33;NA
"Alternative,Jazz";5;0.151;34
"Alternative,Rock";13;0.554;105
"Pop";25;0.636;14
"Rock";1;0.615;NA
"HipHop";34;0.75;0
"Alternative,Rock";926;0.357;5325
"Dance,Electronic";340;0.618;83
"Alternative,Rock";161;0.265;285
"HipHop";30;0.635;70
"Electronic";354;0.627;0
"Rock";25;0.449;142
"Alternative,Pop";1;0.421;105
"Alternative";1501;0.348;NA
"Pop";192;0.511;369
"Jazz,Rock";8;0.211;0
"Pop";13;0.523;127
"Pop,Rock";9;0.586;7
"Rock";1;0.56;NA
"Rock";132;0.257;300
"Alternative";1;0.457;9
"HipHop,Pop";3;0.678;238
"Rock";102;0.453;0
"NewAge,Pop";7;0.738;857
"Alternative,Rock";4;0.544;10
"Latin";85;0.636;NA
"Alternative";3;0.487;37
"Rock";163;0.325;612
"Alternative,Rock";2;0.199;142
"Electronic,Pop";94;0.74;NA
"Rock";13;0.4;0
"Alternative";108;0.356;NA
"HipHop";3;0.838;1
"Alternative,Folk";8;0.424;0
"Jazz";2;0.567;1
"AudioBooks";2;0.608;10
"Pop,Rock";1033;0.636;0
"Rock";19;0.165;NA
"NewAge";1387;0.31;45304
"Rock";106;0.333;8
"Alternative";48;0.584;352
"Alternative";5;0.286;NA
"Pop,Rock";31;0.525;0
"HipHop";5;0.87;7
"Dance";7;0.533;0
"Alternative,Pop";69;0.654;0
"Pop";18;0.485;NA
"Soundtrack";2;0.345;2268
"Pop,Rock";47;0.442;865
"Dance";1;0.602;5
"Pop,Rock";417;0.421;378
"Alternative,Electronic";38;0.677;165
"Country";7;0.579;13
"Alternative,Pop";289;0.746;267
"Alternative";32;0.244;NA
"Dance,Electronic";203;0.698;0
"Pop,Rock";76;0.538;277
"Pop";67;0.607;NA
"Alternative";1;0.485;9
"Dance";1747;0.518;NA
"Alternative";130;0.189;0
"HipHop";149;0.72;NA
"Inspirational";30;0.414;NA
"NewAge";979;0.121;NA
"Rock";11;0.497;0
"HipHop,RnbAndSoul";18977;0.712;102048
"RnbAndSoul";78;0.786;233
"HipHop";164;0.727;NA
"Folk";50;0.687;23
"Alternative";65;0.489;63
"HipHop,Reggae";2133;0.728;0
"Pop";3;0.615;NA
"Rock";106;0.259;330
"HipHop,Pop";8;0.528;52
"Alternative";21;0.563;101
"Alternative";5;0.632;129
"Electronic,Pop";50;0.219;1353
"Blues,Rock";1;0.627;NA
"Pop";3;0.569;11
"Pop";308;0.393;734
"Rock";37;0.461;308
"HipHop";45;0.442;NA
"Pop,Rock";33;0.659;265
"Rock";2;0.11;NA
"Alternative,Electronic";1;0.56;74
"HipHop";12;0.459;NA
"ChildrensMusic";44;0.563;NA
"Comedy";1;0.676;NA
"HipHop";2;0.474;NA
"Rock";96;0.624;0
"Comedy,Pop";22;0.458;2338
"Electronic,Pop";83;0.645;99
"Electronic";248;0.724;2869
"Rock";7;0.527;9
"Alternative";1065;0.566;20735
"Electronic";31;0.528;2125
"Pop";7;0.536;19
"Rock";8;0.307;NA
"Alternative,Rock";20;0.718;45
"Rock";46;0.676;NA
"Blues,Classical";1;0.511;12
"Electronic";25786;0.591;NA
"Jazz";92;0.274;155
"Pop";6;0.593;11
"Pop,Rock";3;0.27;58
"Alternative,Rock";22;0.597;22
"HipHop,Latin";58;0.557;354
"Electronic";19;0.842;0
"Dance,Electronic";1;0.635;1
"Rock";1;0.38;NA
"Rock";1;0.0786;NA
"Inspirational,NewAge";1;0.351;NA
"Pop,Rock";6;0.321;10
"Rock";1;0.45;NA
"Rock";58;0.588;29
"Folk";24;0.538;NA
"Rock";2;0.17;NA
"Rock";5;0.207;135
"Dance";26;0.794;412
"Soundtrack";1;0.32;2049
"HipHop";400;0.558;NA
"Rock";94;0.0958;93
"Pop";39;0.532;589
"Alternative";5;0.333;4
"Alternative,Rock";31;0.391;27
"Rock";7;0.488;194
"Rock";1452;0.213;2060
"Folk,Rock";50;0.342;0
"Pop";94;0.202;NA
"Folk,Pop";11;0.364;0
"Rock";19;0.52;86
"Electronic";6;0.62;NA
"Rock";2;0.538;5
"Alternative";41;0.533;NA
"World";56;0.531;75
"Rock";121;0.703;0
"Soundtrack";36;0.335;9407
"Blues";2;0.522;NA
"Electronic";1;0.133;31
"HipHop";2;0.906;6
"Dance,Electronic";3;0.702;5
"Electronic,Pop";2116;0.605;0
"Rock";14;0.674;3579
"Rock";1;0.223;3
"Electronic";1;0.491;NA
"Rock";3;0.564;4
"Pop,Rock";2;0.632;9
"RnbAndSoul";241370;0.566;310
"Alternative";22;0.295;30
"Folk";4816;0.779;10
"Pop";76;0.367;1053
"Rock";2;0.603;5
"Alternative";1;0.398;NA
"Comedy";2;0.66;NA
"Alternative,Rock";3;0.495;11
"Jazz,Pop";6;0.464;1
"Vocal";3;0.406;14
"Electronic";4487;0.781;NA
"Alternative,Rock";37;0.335;124
"Rock";79;0.564;380
"Rock";2580;0.193;2240
"Pop";32;0.713;NA
"Pop";33;0.695;4
"Alternative,Electronic";1;0.556;NA
"Inspirational";3168;0.461;NA
"HipHop";4;0.778;2
"Alternative";1;0.34;NA
"Jazz,Soundtrack";4;0.483;11
"Pop";7;0.569;60
"HipHop";2;0.701;17
"Electronic";30;0.656;205
"Alternative,Electronic";261;0.629;0
"Rock";224;0.415;204
"HipHop";49;0.821;227
"Electronic";66;0.569;640
"Alternative,Rock";393;0.28;0
"Pop,Rock";94;0.215;0
"Electronic";3;0.627;NA
"Inspirational";10;0.463;47
"HipHop";10205;0.5;55496
"Blues,Rock";151;0.547;0
"HipHop";26;0.817;NA
"Alternative";5;0.362;135
"Alternative,Rock";4;0.392;6
"Rock";29;0.611;222
"Alternative";9;0.472;7
"ChildrensMusic";15;0.527;891
"Pop,Rock";16;0.345;84
"Alternative";130;0.434;2338
"Rock";1;0.598;95
"Alternative";73;0.688;16
"AudioBooks,SpokenWord";5;0.634;11868
"Electronic";116;0.822;120
"AudioBooks";4;0.691;NA
"Folk";26;0.481;NA
"Alternative,Jazz";15;0.655;78
"Rock";882;0.517;NA
"Alternative,Rock";20;0.517;0
"Alternative";18;0.296;NA
"Dance";33;0.592;241
"Alternative";18;0.645;5
"Folk,Pop";32;0.619;1
"Alternative";3;0.426;2577
"Vocal";5;0.59;2
"Pop";6;0.543;260
"Folk";2;0.413;NA
"Rock";1;0.615;NA
"Alternative,Rock";14;0.27;25
"Comedy";2;0.622;854
"Folk";294;0.693;1185
"Alternative,Reggae";5;0.228;126
"Rock";151;0.132;1758
"HipHop";2;0.55;10
"Inspirational";164;0.613;45
"HipHop";27;0.406;20
"HipHop,Soundtrack";15;0.56;27
"Dance,Electronic";46;0.505;0
"Alternative,Folk";382;0.286;440
"Pop";14;0.56;102
"HipHop";1;0.708;16
"Alternative,Rock";9;0.515;269
"Folk,Pop";1;0.624;14
"Rock";28;0.34;127
"HipHop";392;0.579;8828
"Electronic";6;0.595;NA
"Classical";25;0.546;35
"Inspirational,NewAge";1;0.688;NA
"HipHop,Pop";38;0.762;4
"Alternative,Pop";11;0.64;13
"HipHop";165;0.707;NA
"Pop";2271;0.647;37910
"Alternative,Pop";19;0.829;28
"Dance,Electronic";10;0.942;86
"Rock";15;0.529;333
"Country";59;0.541;1340
"Alternative,Rock";2;0.583;54
"Country,Rock";162;0.557;155
"HipHop";15;0.492;NA
"Alternative";1;0.898;2
"Pop,Rock";76;0.579;1104
"Rock";1;0.546;95
"Rock";10;0.269;525
"Pop";131;0.571;0
"Alternative";8;0.333;93
"HipHop";8;0.785;NA
"Rock";32;0.404;2946
"Pop";26;0.306;49
"HipHop,Pop";18;0.896;13
"HipHop";1;0.679;46
"Rock";440;0.544;4282
"Rock";24;0.335;0
"Pop";159;0.324;362
"Electronic";133;0.422;0
"NewAge";29;0.612;NA
"HipHop";9;0.869;NA
"NewAge";18;0.121;7414
"Rock";107;0.152;2610
"Folk";1;0.599;256
"Soundtrack";8;0.241;NA
"Rock";10;0.799;31
"Rock";1;0.436;NA
"Rock";6;0.305;NA
"Electronic";22;0.472;146
"Folk,Pop";1;0.603;7
"Alternative,Rock";1174;0.246;0
"Pop";2;0.712;28
"Rock";4929;0.361;710312
"Alternative";82;0.135;NA
"Electronic";25;0.588;0
"Electronic";14;0.599;211
"SpokenWord";14;0.711;6792
"Pop";2;0.621;NA
"Alternative,Pop";410;0.185;5250
"HipHop";439;0.8;3981
"Electronic";11;0.691;23
"Pop";304;0.483;1087
"Rock";161;0.536;94
"NewAge";1;0.384;1
"Rock";5;0.446;6
"Rock";8;0.386;NA
"HipHop";12;0.499;NA
"HipHop,Pop";2;0.693;NA
"Folk";9;0.388;34
"Reggae";21;0.856;0
"HipHop";8;0.92;NA
"HipHop";16;0.4;NA
"Pop";1;0.715;0
"Alternative,Folk";69;0.201;0
"Inspirational";1;0.404;1
"HipHop,Reggae";46;0.679;42
"Classical";31;0.199;375
"Pop";1;0.67;63
"Soundtrack";3;0.619;681
"Rock";2;0.299;5
"Rock";14;0.252;70
"Folk,HipHop";261;0.681;0
"Classical,Electronic";44;0.659;0
"Rock";7;0.67;16
"Jazz";1;0.216;8
"Comedy,Rock";18;0.395;NA
"Pop";11;0.562;NA
"Rock";6;0.441;55
"Jazz";1;0.37;NA
"Rock";35;0.532;69
"Latin,Rock";24;0.782;47
"Comedy,Dance";67;0.316;0
"Electronic";213;0.689;4
"NewAge";309;0.31;27465
"ChildrensMusic";34;0.857;NA
"Rock";578;0.418;1382
"Alternative";2;0.645;NA
"Rock";3;0.369;2
"Alternative";2;0.192;15
"Alternative,Pop";8;0.274;21
"Dance,Electronic";16;0.896;6
"Alternative,Rock";10;0.448;423
"Electronic";133;0.594;410
"Alternative";36;0.782;NA
"Pop";33;0.376;572
"SpokenWord";14;0.627;8130
"Rock";4285;0.453;8556
"HipHop";7;0.642;NA
"Rock";1;0.568;NA
"Dance,Electronic";33;0.257;1105
"HipHop";1079;0.792;2037
"ChildrensMusic,Classical";11;0.247;41
"Pop,Rock";144;0.5;1596
"HipHop";1;0.681;20
"NewAge";2111;0.481;7946
"NewAge,Pop";48;0.75;NA
"Pop";12;0.664;NA
"SpokenWord";12;0.628;7777
"Blues,Rock";38;0.527;338
"Rock";1;0.578;25
"HipHop";630;0.569;93289
"Pop,Rock";1;0.381;NA
"Pop";18;0.487;1
"Rock";293;0.449;994
"Rock";1;0.514;NA
"Electronic";2;0.717;20
"Pop";114;0.704;10
"Vocal";21;0.37;117
"Alternative,Rock";7;0.404;10
"Rock";106;0.372;187
"Pop";82;0.661;NA
"Alternative,Pop";41;0.643;0
"Pop,Rock";8;0.504;4
"HipHop";1;0.49;370
"Blues";4703;0.543;993
"Alternative,Pop";59;0.526;1
"Rock";1;0.283;2
"Alternative";250;0.368;14
"Alternative";7;0.547;NA
"Pop";11;0.477;35
"Alternative";14;0.562;78
"AudioBooks,NewAge";16;0.679;120
"Inspirational";30;0.489;240
"Electronic,RnbAndSoul";7;0.589;46
"Electronic";2;0.803;4
"Rock";16;0.198;NA
"Folk";2;0.326;1
"Pop,Soundtrack";2;0.516;7
"Alternative";436;0.396;400
"Alternative,Rock";13;0.598;24
"NewAge,World";4;0.605;0
"Alternative";1;0.322;4
"Alternative";20;0.389;442
"HipHop";272;0.743;1375
"Dance";1;0.222;1
"Classical";26;0.304;210
"Alternative";442;0.289;NA
"Rock";1;0.512;NA
"Alternative,Vocal";9;0.58;31
"Alternative";27;0.487;15
"Alternative,Pop";74;0.421;0
"Alternative,Rock";2;0.258;9
"HipHop,SpokenWord";12;0.915;0
"Pop";10;0.85;0
"Inspirational";1;0.187;5
"Alternative,Pop";276;0.368;10213
"Alternative";56;0.635;0
"Alternative";1;0.415;NA
"Rock";24;0.48;852
"Folk";481;0.748;940
"Jazz";1;0.541;3
"Alternative";33;0.285;119
"Pop";207;0.488;731
"Pop";25;0.403;30
"Alternative,Electronic";4;0.354;42
"Rock";45;0.118;NA
"NewAge";3841;0.351;31163
"HipHop";5;0.641;NA
"Dance,Electronic";1131;0.558;4772
"Rock";18;0.323;NA
"Electronic";42;0.403;0
"RnbAndSoul";35;0.636;8
"World";8;0.422;NA
"HipHop";244;0.537;NA
"HipHop";3;0.81;NA
"Jazz";3350;0.612;33540
"Alternative,Pop";69;0.555;948
"Reggae";1;0.692;1
"Alternative";15;0.606;47
"HipHop";14;0.912;48
"Pop,Rock";14;0.29;0
"Electronic";173;0.706;44
"Rock";22;0.547;34
"Pop";3;0.897;NA
"Rock";4;0.557;37
"Electronic";1;0.603;1
"Alternative,Pop";53;0.614;0
"Alternative";5;0.299;10
"Alternative";72;0.53;0
"Blues,Rock";2;0.605;0
"HipHop";6247;0.833;20776
"Electronic";10;0.468;115
"Electronic,Pop";98;0.413;5
"Rock";18;0.452;23
"Alternative";10;0.814;2
"Alternative";2;0.609;16
"Comedy";6;0.556;3430
"Inspirational,SpokenWord";25;0.71;73
"Alternative";140;0.76;357
"Folk,World";235;0.187;0
"Dance,Electronic";2130;0.535;0
"HipHop";7;0.761;NA
"AudioBooks,SpokenWord";12;0.631;0
"Dance";36;0.556;63
"Rock";147;0.183;NA
"Rock";1;0.549;15
"Dance,Electronic";1;0.603;0
"Alternative,Rock";175;0.309;460
"SpokenWord";7;0.774;30
"Rock";2;0.728;NA
"Electronic";1;0.666;NA
"Folk";26;0.485;211
"Electronic";2;0.377;0
"HipHop";1;0.649;NA
"HipHop";6;0.747;NA
"HipHop";1;0.614;11
"Jazz";3;0.457;199
"HipHop";10;0.741;NA
"Rock";6;0.321;NA
"Rock";80;0.672;136
"Alternative";12;0.413;11
"ChildrensMusic";1947;0.801;NA
"Rock";697;0.233;83
"HipHop";45278;0.558;115128
"Electronic";2;0.391;70
"Rock";3;0.198;91
"Jazz";9;0.441;108
"Pop,Rock";30;0.598;297
"Folk,Pop";10;0.365;0
"Alternative";5;0.38;0
"NewAge";71;0.741;168
"Soundtrack";274;0.219;NA
"AudioBooks,NewAge";190;0.607;3003
"Dance,Electronic";58;0.806;132
"Dance,World";22;0.812;0
"Folk";17;0.171;0
"Electronic";2;0.726;7
"Alternative,Rock";26;0.267;322
"Alternative";2;0.554;67
"Electronic";67;0.729;256
"Alternative";3;0.504;15
"Blues,Rock";3;0.461;NA
"Folk,Rock";48;0.234;16
"Alternative,Pop";23;0.459;26
"Rock";28;0.297;15
"ChildrensMusic";4;0.457;123
"Rock";5;0.522;0
"Pop,Rock";263;0.398;200
"Alternative";120;0.408;126
"Electronic";22;0.262;NA
"Vocal";7;0.683;NA
"Dance,Electronic";1;0.222;NA
"Alternative";2874;0.505;6051
"Rock";2;0.504;13
"Dance";61;0.559;NA
"Holiday";2;0.562;135
"Alternative";36;0.613;NA
"Alternative";23;0.819;149
"Alternative,Rock";1;0.106;4
"Alternative";44;0.536;NA
"Pop";31;0.484;139
"Electronic";1;0.633;0
"Rock";11;0.457;NA
"Alternative";1;0.257;114
"Dance,Electronic";27;0.667;51
"Electronic";2;0.601;11
"Alternative";3;0.665;NA
"Rock";2;0.192;NA
"Blues,Pop";86;0.218;303
"Alternative";99;0.576;4434
"HipHop";702;0.74;2193
"HipHop";8;0.757;NA
"Dance,Electronic";1;0.281;35
"Alternative";1;0.239;8
"Pop";6;0.358;49
"HipHop";7325;0.315;421897
"Pop";11;0.658;10
"Alternative,Rock";22;0.469;12
"Rock";1;0.333;7
"Alternative,Pop";18;0.562;19
"HipHop";125;0.564;NA
"HipHop";2;0.716;4
"HipHop";11;0.807;1951
"Rock";19;0.225;0
"Pop,Rock";1;0.336;3
"Rock";129;0.866;0
"Pop,Rock";33;0.456;36
"Classical,Jazz";16;0.523;24
"Pop";64;0.437;NA
"Reggae";82;0.688;62
"Alternative";20;0.488;265
"NewAge";34;0.0824;2746
"HipHop";2;0.573;NA
"Electronic,Soundtrack";1;0.287;359
"Rock";79;0.399;494
"Dance,Electronic";1;0.57;3
"Rock";15;0.596;17
"Pop";15;0.363;1319
"Alternative";106;0.399;118
"Rock";1;0.305;NA
"Alternative";172;0.359;41527
"HipHop";35;0.818;0
"Jazz,Pop";15;0.628;23
"Inspirational";157;0.37;1
"NewAge";20;0.078;0
"HipHop,RnbAndSoul";1;0.633;3
"Alternative";1;0.18;NA
"Comedy";6;0.569;64
"HipHop";18;0.889;7
"Dance";5;0.625;59
"Inspirational";3109;0.563;NA
"Soundtrack";1;0.535;2307
"HipHop";5;0.531;NA
"Electronic,Pop";3;0.657;209
"Rock";7;0.575;90
"Pop,Rock";113;0.469;0
"Country,Rock";1403;0.906;41468
"Dance";507;0.692;63
"Rock";14;0.368;0
"Soundtrack";673;0.503;23617
"Pop,Rock";27;0.364;0
"Pop,Rock";31;0.419;3
"Electronic,Folk";15;0.604;26
"Latin,Reggae";20;0.578;27
"Rock";2;0.508;54
"Alternative,Rock";1;0.482;NA
"Rock";1;0.381;15
"SpokenWord";10;0.61;7230
"HipHop";4;0.328;NA
"Alternative";2;0.561;4
"Blues,Folk";8;0.614;1
"Alternative,HipHop";1;0.75;NA
"Rock";2;0.283;NA
"Folk";104;0.964;39
"Dance,Pop";1;0.738;1
"HipHop";35;0.484;360
"Rock";3;0.625;NA
"Dance";110;0.725;NA
"ChildrensMusic,Rock";29;0.543;0
"Rock";4;0.155;1
"Rock";17;0.323;1189
"Electronic";1;0.649;NA
"Classical";3166;0.612;17084
"Country,Folk";10;0.48;0
"NewAge";12;0.13;NA
"Alternative,Rock";1;0.344;89
"Electronic";14;0.627;1
"Pop";1;0.602;91
"Electronic,Rock";57;0.313;0
"RnbAndSoul";8;0.366;29
"Rock";392;0.0745;0
"HipHop";273;0.849;NA
"Pop";862;0.644;0
"HipHop";14;0.664;NA
"Rock";1;0.247;NA
"Alternative,Electronic";38;0.269;132
"Inspirational,Soundtrack";1;0.0651;50
"Rock";1;0.301;10
"Inspirational";6;0.507;NA
"Alternative,Rock";8;0.665;4
"Electronic,HipHop";1;0.765;3
"Rock";2;0.452;1
"Rock";85;0.527;0
"HipHop";104;0.69;536
"Pop";60;0.586;1
"Folk";7;0.274;NA
"Reggae";35;0.672;33
"Pop,Rock";31;0.584;0
"Jazz";1;0.22;15
"HipHop,Reggae";57;0.641;320
"Alternative";97;0.258;127
"HipHop";8;0.439;NA
"Jazz";19915;0.453;NA
"Alternative";39;0.679;29
"Pop";603;0.469;1544
"Alternative,Pop";27;0.754;343
"Inspirational,NewAge";11;0.339;0
"Alternative,Rock";14;0.27;25
"Alternative";1;0.687;3
"Country";813;0.502;247
"HipHop";1;0.664;1
"Electronic";30;0.531;313
"Electronic";4;0.458;1
"Alternative,Rock";1;0.475;1
"Electronic,NewAge";8;0.572;95
"Dance,Electronic";4;0.24;NA
"Folk,Rock";38;0.534;127
"Alternative,Electronic";29;0.598;0
"Rock";48;0.241;90
"Alternative,Rock";4;0.227;59
"HipHop,Jazz";44;0.389;62
"Dance";4;0.521;NA
"Rock";120;0.275;0
"Electronic";1;0.796;NA
"Electronic";6;0.166;NA
"Electronic,NewAge";1;0.4;0
"Pop";6244;0.513;3119
"Comedy";2;0.624;2419
"Dance,Electronic";57;0.682;87
"Alternative,Rock";59;0.776;37
"Electronic,Jazz";34;0.272;802
"Alternative";16;0.59;0
"Rock";41;0.637;NA
"Dance";86;0.733;0
"Classical";1;0.556;18
"Pop";1;0.264;30
"Pop,Rock";12;0.414;210
"Pop";2;0.717;70
"Alternative,Rock";1;0.213;6020
"Electronic,NewAge";41;0.676;2380
"Electronic,Pop";8;0.826;9
"Rock";62;0.491;22
"Dance,Pop";20;0.683;0
"Folk";60;0.626;1207
"Pop";14;0.29;8
"Alternative,Rock";4;0.216;5
